Problem,Algorithm,Best_Fitness_Mean,Best_Fitness_Std,Execution_Time_Mean,Execution_Time_Std,Success_Rate_%
ПИД-регулятор двигателя,PSO,0.0797176334494161,1.251140916796072e-09,21.811520862579346,0.15196404395215554,100.0
ПИД-регулятор двигателя,GWO,0.08014909786093213,0.00040358431889739256,23.71409261226654,1.0120580302019302,100.0
ПИД-регулятор двигателя,WOA,0.10425172191816437,0.03606799938927565,21.805565071105956,0.20406660175541474,100.0
ПИД-регулятор двигателя,HHO,0.14606705281013443,0.08336035527428311,21.758868527412414,0.20072865943888824,100.0
ПИД-регулятор двигателя,SMA,0.08438772873931163,0.008491829628422373,21.83751211166382,0.1699967148829955,100.0
Балансировка маятника,PSO,400000.0385131991,489897.91711074027,2.1181750297546387,1.8584342819136639,100.0
Балансировка маятника,GWO,500000.0758084555,499999.9241915608,5.75417652130127,6.365420145511624,100.0
Балансировка маятника,WOA,900000.0109021461,299999.96729356184,1.6727011680603028,3.594911215902682,100.0
Балансировка маятника,HHO,1000000.0,0.0,0.522393774986267,0.007486783345811461,100.0
Балансировка маятника,SMA,200000.05317653372,399999.9734117332,0.9858375787734985,0.24585834699048886,100.0
Уровень жидкости,PSO,0.6608898291089169,0.0012027909292687496,8.304200673103333,0.09757371676654648,100.0
Уровень жидкости,GWO,0.6619959290722843,0.0011255376983722702,8.35731258392334,0.052564249657719525,100.0
Уровень жидкости,WOA,0.662727122601775,0.0,8.298269701004028,0.06186506281386068,100.0
Уровень жидкости,HHO,0.662727122601775,0.0,8.364196372032165,0.08231145518569667,100.0
Уровень жидкости,SMA,0.662727122601775,0.0,8.50532898902893,0.126243305933663,100.0
